config,round,workload,pp_tps,tg_tps,tpot_ms,prompt_n,predicted_n,predicted_ms,content_sha,wall_s
g_on,0,en2048,589.16,84.45,11.836,1211,2048,24239.8,cfa3a6c50aab,26.31
g_off,0,en2048,583.66,82.35,12.137,1211,2048,24856.6,cfa3a6c50aab,26.95
g_on,0,zh1024,166.89,50.95,19.609,62,1024,20079.6,bbf03782db82,21.17
g_off,0,zh1024,169.51,49.81,20.056,62,1024,20537.7,bbf03782db82,21.63
g_on,1,en2048,582.63,82.68,12.088,1211,2048,24757.1,cfa3a6c50aab,26.85
g_off,1,en2048,583.63,81.57,12.253,1211,2048,25094.1,cfa3a6c50aab,27.18
g_on,1,zh1024,167.96,50.14,19.926,62,1024,20404.6,bbf03782db82,21.49
g_off,1,zh1024,163.29,49.54,20.167,62,1024,20650.6,bbf03782db82,21.75
g_on,2,en2048,581.47,82.28,12.147,1211,2048,24877.6,cfa3a6c50aab,26.98
g_off,2,en2048,582.61,81.48,12.267,1211,2048,25122.5,cfa3a6c50aab,27.21
g_on,2,zh1024,167.62,50.00,19.982,62,1024,20462.0,bbf03782db82,21.55
g_off,2,zh1024,166.28,49.44,20.206,62,1024,20690.9,bbf03782db82,21.78
g_on,3,en2048,582.61,82.18,12.162,1211,2048,24907.7,cfa3a6c50aab,27.00
g_off,3,en2048,580.28,81.31,12.292,1211,2048,25174.1,cfa3a6c50aab,27.27
g_on,3,zh1024,167.78,49.88,20.028,62,1024,20508.5,bbf03782db82,21.60
g_off,3,zh1024,168.09,49.37,20.234,62,1024,20719.7,bbf03782db82,21.81
g_on,4,en2048,579.55,82.08,12.177,1211,2048,24937.8,cfa3a6c50aab,27.04
g_off,4,en2048,579.88,81.23,12.304,1211,2048,25199.3,cfa3a6c50aab,27.30
g_on,4,zh1024,158.96,49.94,20.005,62,1024,20485.4,bbf03782db82,21.60
g_off,4,zh1024,167.80,49.33,20.251,62,1024,20737.2,bbf03782db82,21.83
