config,round,workload,pp_tps,tg_tps,tpot_ms,prompt_n,predicted_n,predicted_ms,content_sha,wall_s
sk_on,0,en2048,585.76,83.92,11.911,1211,2048,24393.1,cfa3a6c50aab,26.48
sk_off,0,en2048,583.03,82.89,12.058,1211,2048,24694.5,cfa3a6c50aab,26.79
sk_on,0,zh1024,168.71,50.74,19.688,62,1024,20160.9,bbf03782db82,21.25
sk_off,0,zh1024,168.15,50.30,19.860,62,1024,20337.0,bbf03782db82,21.42
sk_on,1,en2048,580.28,82.34,12.140,1211,2048,24861.8,cfa3a6c50aab,26.96
sk_off,1,en2048,581.48,82.35,12.137,1211,2048,24856.0,cfa3a6c50aab,26.95
sk_on,1,zh1024,168.32,50.15,19.921,62,1024,20399.2,bbf03782db82,21.48
sk_off,1,zh1024,167.45,50.00,19.982,62,1024,20461.6,bbf03782db82,21.55
sk_on,2,en2048,579.48,82.02,12.186,1211,2048,24956.1,cfa3a6c50aab,27.06
sk_off,2,en2048,578.89,82.29,12.147,1211,2048,24876.9,cfa3a6c50aab,26.98
sk_on,2,zh1024,157.65,49.99,19.985,62,1024,20464.7,bbf03782db82,21.57
sk_off,2,zh1024,167.63,49.95,20.000,62,1024,20479.7,bbf03782db82,21.57
